sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
20,Madhepura,38605.05,41279.07,3931.72,25022.32,Over Exploited
21,Madhubani,77162.85,33422.25,8011.77,23575.9,Over Exploited
22,Munger,26111.97,9830.39,1545.83,4118.05,Over Exploited
23,Muzaffarpur,74411.61,25605.83,4231.91,20002.28,Over Exploited
24,Nalanda,45991.18,9003.48,1283.24,7728.63,Over Exploited
25,Nawada,46357.36,12733.14,2056.28,8184,Over Exploited
26,Patna,75614.12,17499.1,1990.62,13281.99,Over Exploited
27,Purnea,74894.54,49309.87,8812.19,33751.91,Over Exploited
28,Rohtas,68382.86,32365.48,1554.07,16035.93,Over Exploited
29,Saharsa,42335.83,13402.96,4221.66,9459.72,Over Exploited
30,Samastipur,67879.57,10363.42,3001.88,7756.75,Over Exploited
31,Saran,55933.99,32419.73,2193.7,20610.92,Over Exploited
32,Sheikhpura,12609.23,2696.66,610.19,2090.8,Over Exploited
33,Sheohar,11894.64,3952.45,844.06,1728.44,Over Exploited
34,Sitamarhi,54419.65,5200.9,4163.59,3439.53,Over Exploited
35,Siwan,50257,32048.82,887.5,25045.59,Over Exploited
36,Supaul,45038.71,30919.77,4815.78,26282.44,Over Exploited
37,Vaishali,50503.4,17213.15,1783.69,11137.32,Over Exploited
38,West Champaran,91148.59,50081.11,4241.96,34746.37,Over Exploited
1,2,3,4,5,6,Safe
1,Balod,16827.95,15473.6,0,7403.29,Over Exploited
2,Baloda Bazar,25659.93,36010.49,412.24,6557.98,Over Exploited
3,Balrampur,46086.19,2343.06,309.07,2433.36,Over Exploited
4,Bastar,22040.82,1313.81,1758.77,2006.53,Over Exploited
5,Bemetara,18175.02,16782.78,0,12389.23,Over Exploited
6,Bijapur,49859.36,762.77,214.88,1376.43,Over Exploited
7,Bilaspur,21989.71,16860.67,426.62,11914.36,Over Exploited
8,Dantewada,25283.02,630.44,342.85,1404.15,Over Exploited
9,Dhamtari,20986.49,28926.68,0,18274.95,Over Exploited
10,Durg,14510.5,19764.1,0,8830.02,Over Exploited
11,Gariaband,22766.79,8496.39,0,6030.52,Over Exploited
12,Gourela-Pendra-Marwahi,11297.19,1275.67,545.15,1242.23,Over Exploited
13,Janjgir-Champa,12350.45,20831.76,153.04,15306.79,Over Exploited
14,Jashpur,27453.62,2804.53,873.11,3715.88,Over Exploited
15,Kabirdham,32690.31,29684.9,1408.77,9245.4,Over Exploited
16,Kanker,55430.65,4915.27,2224.16,8633.41,Over Exploited
18,Kondagaon,30505.36,2723.03,2064.15,2231.35,Over Exploited
19,Korba,37675.69,4693.11,676.81,5510.46,Over Exploited
20,Korea,9543.17,3323.71,53.15,1869.95,Over Exploited
21,Mahasamund,47011.09,38521.02,325.68,16779.85,Over Exploited
24,Mungeli,9680.27,12373.58,0,4844.83,Over Exploited
25,Narayanpur,25101.06,457.92,772.79,553.46,Over Exploited
26,Raigarh,35392.31,2788.33,408.53,3429.14,Over Exploited
27,Raipur,19715.92,23406.18,42.18,7778.94,Over Exploited
28,Rajnandgaon,20156.4,9704.94,236.55,8541.37,Over Exploited
29,Sakti,9148.9,10717.41,101.69,13030.06,Over Exploited
30,Sarangarh-Bilairagh,14175.82,6923.33,361.15,3280.46,Over Exploited
31,Sukma,44267.11,915.59,0,976.69,Over Exploited
32,Surajpur,28568.63,4629.44,217.28,6415.47,Over Exploited
33,Surguja,34167.83,3443.26,885.79,3916.43,Over Exploited
1,2,3,4,5,6,Safe
1,Balod,16827.95,15473.6,0,7403.29,Over Exploited
2,Baloda Bazar,25659.93,36010.49,412.24,6557.98,Over Exploited
3,Balrampur,46086.19,2343.06,309.07,2433.36,Over Exploited
4,Bastar,22040.82,1313.81,1758.77,2006.53,Over Exploited
